LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,LTINT,TOT,PC_PA,Q,2014-Q1,2.469459
CAN,LTINT,TOT,PC_PA,Q,2014-Q2,2.352857
CAN,LTINT,TOT,PC_PA,Q,2014-Q3,2.145833
CAN,LTINT,TOT,PC_PA,Q,2014-Q4,1.955172
CAN,LTINT,TOT,PC_PA,Q,2015-Q1,1.442184
CAN,LTINT,TOT,PC_PA,Q,2015-Q2,1.644984
CAN,LTINT,TOT,PC_PA,Q,2015-Q3,1.480825
CAN,LTINT,TOT,PC_PA,Q,2015-Q4,1.518786
CAN,LTINT,TOT,PC_PA,Q,2016-Q1,1.216894
CAN,LTINT,TOT,PC_PA,Q,2016-Q2,1.284791
CAN,LTINT,TOT,PC_PA,Q,2016-Q3,1.059973
CAN,LTINT,TOT,PC_PA,Q,2016-Q4,1.445373
CAN,LTINT,TOT,PC_PA,Q,2017-Q1,1.712945
CAN,LTINT,TOT,PC_PA,Q,2017-Q2,1.513022
CAN,LTINT,TOT,PC_PA,Q,2017-Q3,1.947045
CAN,LTINT,TOT,PC_PA,Q,2017-Q4,1.961596
CAN,LTINT,TOT,PC_PA,Q,2018-Q1,2.236988
CAN,LTINT,TOT,PC_PA,Q,2018-Q2,2.27785
CAN,LTINT,TOT,PC_PA,Q,2018-Q3,2.27876
CAN,LTINT,TOT,PC_PA,Q,2018-Q4,2.31805
CAN,LTINT,TOT,PC_PA,Q,2019-Q1,1.857795
CAN,LTINT,TOT,PC_PA,Q,2019-Q2,1.61711
CAN,LTINT,TOT,PC_PA,Q,2019-Q3,1.362776
CAN,LTINT,TOT,PC_PA,Q,2019-Q4,1.517848
